Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
3.415	2.53	3.08	1.97	2.41	2.80	2.01	3.72	4.61	2.83
3.416	2.64	3.17	2.10	2.40	2.79	2.01	3.86	4.73	3.00
3.417	2.57	3.11	2.02	2.41	2.79	2.02	3.77	4.64	2.89
3.418	2.64	3.17	2.11	2.41	2.79	2.02	3.87	4.72	3.01
3.419	2.48	3.01	1.95	2.38	2.76	2.00	3.65	4.52	2.79
3.42	2.37	2.91	1.84	2.33	2.71	1.95	3.51	4.38	2.64
3.421	2.49	3.04	1.94	2.32	2.70	1.94	3.67	4.55	2.78
3.422	2.37	2.91	1.83	2.34	2.73	1.96	3.51	4.38	2.63
3.423	2.29	2.83	1.75	2.32	2.70	1.93	3.41	4.29	2.54
3.424	2.26	2.81	1.72	2.31	2.69	1.92	3.37	4.25	2.49
3.425	2.28	2.83	1.73	2.32	2.70	1.93	3.39	4.27	2.51
3.426	2.28	2.83	1.73	2.32	2.71	1.94	3.39	4.28	2.51
3.427	2.27	2.82	1.71	2.32	2.70	1.93	3.38	4.27	2.48
3.428	2.21	2.75	1.67	2.30	2.68	1.91	3.30	4.18	2.42
3.429	2.20	2.76	1.65	2.29	2.68	1.90	3.29	4.19	2.39
3.43	2.21	2.79	1.62	2.27	2.67	1.88	3.29	4.23	2.35
3.431	2.18	2.79	1.58	2.26	2.66	1.86	3.27	4.24	2.30
3.432	2.35	2.92	1.78	2.35	2.74	1.96	3.50	4.41	2.58
3.433	2.36	2.92	1.80	2.36	2.74	1.98	3.51	4.41	2.62
3.434	2.43	2.98	1.87	2.39	2.77	2.00	3.61	4.50	2.72
